timestamp,comment-id,author-id,agrees,disagrees,moderated,comment-body
1467241938877,81,103,2,1,0,我建議由人民團體建構並經主管機關認證者，建構成為實驗教育支持系統，每年度檢核。個人申請，經人民團體同意登錄於支持系統並研修政府補助親職研習學員，個人計畫得於附件中提出人民團體同意函，逕予通過(報備制)。未參加支持系統或未檢附同意函的個人計畫需經審議會審議得以此因應審議人力及輔導。
1467029365479,80,174,11,1,0,教育局承辦人員是自學程序的第一道入口，若是承辦人員口氣常不耐煩，又常打斷家長的提問，是否政府該考慮更換一位稍具耐心的承辦人員或多加人手，畢竟家長有問題才會去問而諾大的教育局只有一位人員可解答，也要碰運氣也許人員會公差外出！
1467013127613,79,170,10,1,0,實地訪視最能看出自學的施行狀況，應當作比重最大的評鑑依據，其他如寫申請書、面談、成果發表、成果報告都可能與實際狀況有差距，應該只是參考，不應該作主要標準。
1467013079078,78,170,9,4,0,申請書不應規定要寫日課程表，課程內容、進度、教學資源、預期成效等項目。  因為在家自學與學校教學模式完全不同，硬套入學校規劃課程的框架，反而無法呈現真實狀況，造成申請書寫的，實際上根本不會作。
1467013056169,77,170,6,5,0,"如果家長有誠意申請自學卻,審議時卻遭遇困難而不通過，只會逼家長不得已只能採取請長假等其他方式自學，造成政府管理與監督的困難。所以自學應當採取「只要有申請，必定會通過」的報備方式。"
1467012936288,76,170,5,6,0,申請書與成果報告的格式如果只是參考用，沒有強迫必須採用，教育局就應該「不主動提供」，等到有家長詢問再給。
1467012872707,75,170,5,7,0,公開委員的聯絡方式，包括電話與電子郵件信箱，方便家長直接溝通，這是對家長的對等尊重。
1467012859306,74,170,8,3,0,自學孩子如果教不好，所有人都會認為在家教育的父母應該負起絕對責任，很少人會把責任完全歸給在家自學的審查委員。委員對在家自學的內容有太多意見，會造成反客為主的怪現象：要別人照你的意思作，卻又無法負起成敗責任。
1467012827145,73,170,10,3,0,"委員應對自己的審議意見在通知公文上具名,以示對自己的意見負責"
1467012673761,72,170,8,2,0,審議委員應該明白自己的角色與職責，小心自己的發表的審查意見，因為可能只是委員認為善意的關心，會被底下執行的人員解釋為務必執行的指令（公務人員腦袋就是那麼死板），造成家長很多不必要的困擾。
1467012558114,71,170,8,2,0,"每次審議會均應公開詳細會議記錄與出席委員名單,以確保出席人數合法,做成的決議有效"
1467012481848,70,170,9,1,0,"成果發表現場應公佈當場審議委員的名稱與資歷,以昭公信"
1467012434649,69,170,9,3,0,"審議公文與審議面談現場都需公佈當次審議委員的名單與資歷,已昭公信"
1467012355189,68,170,5,1,0,"報備制度加上頻繁家訪(一學期1-2次以上,每次家訪需不同的人去訪視,可包括委員,學校老師或其他自學專業人士,如此可避免個人意見偏差)才是真正可以保證自學生受教權與自學家長的教育選擇權的方式"
1467012128383,67,170,6,3,0,"唯有家庭訪視的頻率增加,審議委員像社工一樣,常常拜訪自學家庭,實際觀察生活狀況,多次深入的談話後,才可能預防自學後虐童或當童工童妓的事件,並真正輔導自學家庭如何自學."
1467012059137,66,170,7,3,0,"就算可能發生自學家長虐童或申請自學反而去當童工等恐怖事件,以現行審議制度(光看書面計畫書加上短時間面談)也絕對無法避免此類事件,因為家長絕不可能在申請書或面談時告訴委員:等我們自學通過後,我們家小孩就會被送去當童工妓女,或我會把小孩關在家裏虐待他!"
1467008375840,65,165,6,1,0,法規的成立或是變更，做法上全國各縣市皆尚有但書。單個人「在家自學條例」來說，能夠是為「家庭教育實施條例」與團體機構分門別類。
1467007994778,64,165,9,2,0,這個環境的孩子都是多元發展，應該能夠取向放寬學力鑑定的審核標準，也許可以納入家庭教育者對於受教育者自行設置評鑑彈性學分制等相關理念，還有受教育者高級中等專業部份的証照抵定等。
1466982321690,63,33,15,1,0,各縣市自學的申請越來越多，很多地方的審查過程必須將整個審議委員會分組審查，再進行彙整意見，但決定每一個案的處置時，會以尊重實質面審的委員意見優先，或易被有實質面審的委員主觀意見左右結論。因此，申請人的計畫書最後審議通過與否，其實取決於委員個別差異上。
1466304437483,62,3,14,7,0,隨著自學人數的增加，原有的各縣市審議會會無法處理大量的申請，國中小的部份回歸原設籍學校，適當的訓練學校行政人員與老師，可以給予自學家庭資源的協助，也可以做訪視與評鑑，避免教育局承辦常常更換造成的不穩定。
